Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
"351351";"S/N13S/N6S/N81S/NS/NS/N115";"MULTI - BUCAL ODONTOLOGIA LTDA - LTDA";"MULTI-BUCAL CONVÊNIO ODONTOLÓGICO";"Odontologia de Grupo";"AVENIDA INDEPENDÊNCIA ";"1339";;"JARDIM SUMARÉ";"Ribeirão Preto";"SP";"14S/N2539S/N";"16";"38774888";;"multibucal@multibucal.com.br";"ELIAS PACHECO ISSA";"DIRETOR GERENTE";6;"1998-12-21"
"421847";"331S/N5631S/NS/NS/N124";"MV2C ADMINISTRADORA DE BENEFICIOS LTDA";;"Administradora de Benefícios";"RUA DA QUITANDA";"62";"SALA 7S/N1";"CENTRO";"Rio de Janeiro";"RJ";"2S/NS/N11S/N3S/N";"21";"35531692";;"machadosos@hotmail.com";"GIOVANI ROBERTO DA SILVA";"ADMINISTRADOR";6;"2S/N19-S/N7-S/N5"
"41865S/N";"3S/N46S/NS/N75S/NS/NS/N116";"MÚTUA DOS MAGISTRADOS DO ESTADO DO RIO DE JANEIRO";"MÚTUA DOS MAGISTRADOS";"Autogestão";"RUA DOM MANUEL";"29";"1ª ANDAR";"CENTRO";"Rio de Janeiro";"RJ";"2S/NS/N1S/NS/N9S/N";"21";"25325S/N26";"222S/N1357";"mutuadosmagistrados@mutuadosmagistrados.com.br";"RICARDO COUTO DE CASTRO";"PRESIDENTE";3;"2S/N12-1S/N-16"
"3S/N4441";"S/N1867792S/NS/NS/N169";"NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.";"CLIN - PLANO ODONTO DIGITAL";"Odontologia de Grupo";"AV. JERÔNIMO PIRES";"1234";;"CENTRO";"Belém do São Francisco";"PE";"5644S/NS/NS/NS/N";"81";"336668S/NS/N";;"ans@clin.digital";"JOAQUIM PEREIRA NEVES NETO";"DIRETOR";5;"1999-S/N2-S/N3"
"421286";"21977451S/NS/NS/N153";"NACIONAL SAUDE ADMINISTRADORA DE BENEFICIOS LTDA";"NACIONAL SAÚDE";"Administradora de Benefícios";"AVENIDA DAS AMERICAS";"5S/NS/N";"BLOCO S/N4. SALA 313";"BARRA DA TIJUCA";"Rio de Janeiro";"RJ";"2264S/N9S/N4";;;;"leandro.ss@ig.com.br";"LUZIA DA SILVEIRA SANTOS";"ADMINISTRADOR";3;"2S/N18-S/N6-28"
"415S/N57";"S/N2949417S/NS/NS/N12S/N";"NEWKLIN ODONTOCLÍNICA LTDA. ME.";"NEWKLIN ODONTOCLÍNICA";"Odontologia de Grupo";"RUA PARA";"422";;"CENTRO";"Morrinhos";"GO";"7565S/NS/NS/NS/N";"64";"341318S/N3";"341318S/N3";"planosnewklin@gmail.com";"JOSE MARCELO AZEVEDO REZENDE";"SOCIO";5;"2S/NS/N4-12-S/N6"
"421146";"28311619S/NS/NS/N136";"NEXO - ADMINISTRADORA DE BENEFICIOS LTDA";;"Administradora de Benefícios";"PRAÇA SAMUEL SABATINI";"226";"BLOCO S/N1. SALAS 3S/N8/3S/N9";"CENTRO";"São Bernardo do Campo";"SP";"S/N975S/N7S/NS/N";"11";"44383S/N79";;"contato@nexosaude.com.br";"NINA LUIZA DA SILVA MARTINS MACCHERONIO";"Sócia-administradora";6;"2S/N18-S/N1-S/N4"
"3S/N5928";"S/N2858169S/NS/NS/N1S/N2";"NOSAMED ASSISTÊNCIA MÉDICA LTDA.";"SAME";"Medicina de Grupo";"RUA BENJAMIN CONSTANT";"577";;"CENTRO";"São José do Rio Pardo";"SP";"1372S/NS/NS/NS/N";"19";"36827272";"36827272";"nosamed@nosamed.com.br";"ADALBERTO CEZAR CORREIA";"SÓCIO ADMINISTRADOR";5;"1998-12-22"
"3726S/N9";"S/N2862447S/NS/NS/N1S/N3";"NOSSA SAÚDE - OPERADORA PLANOS PRIVADOS DE ASSISTÊNCIA  À SAÚDE LTDA.";"NOSSA SAÚDE";"Medicina de Grupo";"RUA URSULA ERCOLE CUMIN";"211";"TERREO";"SAMAMBAIA";"Campo Magro";"PR";"83535S/NS/NS/N";"41";"324S/N47S/NS/N";"324S/N47S/NS/N";"nossasaude@nossasaude.com.br";"DULCIMAR DE CONTO";"ADMINISTRADOR";4;"1998-12-17"
"34852S/N";"6255S/N256S/NS/NS/N12S/N";"NOTRE DAME INTERMÉDICA MINAS GERAIS SAÚDE S.A.";"HAPVIDA MINAS GERAIS";"Medicina de Grupo";"AVENIDA PAULISTA";"867";"6º ANDAR. CONJUNTO 61. SALA 2";"BELA VISTA";"São Paulo";"SP";"S/N13111S/NS/N";"31";"31662369";"4S/NS/N32852";"ans@hapvida.com.br";"LUIZ CELSO DIAS LOPES";"REPRESENTANTE LEGAL DA OPERADORA";4;"1999-S/N1-S/N6"
"359S/N17";"44649812S/NS/NS/N138";"NOTRE DAME INTERMÉDICA SAÚDE S.A.";;"Medicina de Grupo";"AVENIDA PAULISTA";"867";;"BELA VISTA";"São Paulo";"SP";"S/N13111S/NS/N";"11";"3155536S/N";;"ans.ndi@hapvida.com.br";"LUIZ CELSO DIAS LOPES";"DIRETOR SEM DESIGNAÇÃO ESPECIFICA";4;"1998-12-16"
"423661";"5S/N876139S/NS/NS/N171";"NOVA SAÚDE OPERADORA INTEGRADA DE SAÚDE LTDA";;"Medicina de Grupo";"RUA NILO PEÇANHA";"5S/N";"SALA 2517";"CENTRO";"Rio de Janeiro";"RJ";"2S/NS/N2S/N9S/N6";"21";"994967S/N28";;"anderson.marques@novasaudebr.com.br";"ADEMILSON PINHEIRO SILVA";"SOCIO ADMINISTRADOR";;"2S/N23-S/N7-1S/N"
"41784S/N";"S/N291994S/NS/NS/NS/N1S/N4";"NOVODENTE S/A";"NOVODENTE";"Odontologia de Grupo";"AVENIDA CARLOS GOMES";"222";"CONJUNTO 9S/N1";"BOA VISTA";"Porto Alegre";"RS";"9S/N48S/NS/NS/NS/N";"51";"99776493";"33S/N32614";"jose.wolnei@novodente.com.br";"TAMIRA BASTOS MENDES";"DIRETORA";5;"2S/N11-S/N1-24"
"352888";"42515882S/NS/NS/N178";"NUCLEBRÁS EQUIPAMENTOS PESADOS S/A - NUCLEP";"NUCLEP";"Autogestão";"Avenida das Américas";"35S/NS/N";"Le Monde Office. bloco S/N1. sala 613";"Barra da Tijuca ";"Rio de Janeiro";"RJ";"2264S/N1S/N2";"21";"37814522";;"saude@nuclep.gov.br";"KAREN OLIVEIRA SANTOS";"ASSISTENTE DE PLANO DE SAÚDE";6;"1998-12-28"
"422754";"4S/N246859S/NS/NS/N1S/N8";"ODILE SERVIÇOS DE SAÚDE LTDA.";"ODILE SAÚDE";"Medicina de Grupo";"AVENIDA YOJIRO TAKAOKA";"4384";"SALA 7S/N1";"ALPHAVILLE";"Santana de Parnaíba";"SP";"S/N6541S/N38";;;;"jeff.plentz@techtools.vc";"JEFFERSON ALMOUALEM PLENTZ";"REPRESENTANTE JUNTO A ANS";;"2S/N21-S/N5-19"
"422S/N88";"349S/N7159S/NS/NS/N1S/N6";"ODONT-OPERADORA ODONTOLOGICA LTDA";;"Odontologia de Grupo";"ALAMEDA SANTOS";"1357";"9º ANDAR";"JARDIM PAULISTA";"São Paulo";"SP";"S/N1419S/NS/N1";;;;"diretoria@odont.com.br";"PABLO DAMIAO DA SILVA SANTOS";"SÓCIO ADMINISTRADOR";1;"2S/N19-12-18"
"421464";"S/N8961113S/NS/NS/N165";"ODONTO ALEGRE CLINICAS E PLANOS ODONTOLOGICOS LTDA";"ODONTO ALEGRE CLINICAS E PLANOS ODONTOLOGICOS LTDA";"Odontologia de Grupo";"Rua Dos  Andradas";"1S/N91";"Sala 61";"Centro Historico";"Porto Alegre";"RS";"9S/NS/N2S/NS/N15";"51";"32257S/N31";;"financeiro@odontoalegre.com.br";"ADRIANA MARIA ALBARELLO";"Socia Administradora";4;"2S/N18-1S/N-S/N9"
"31S/N981";"4S/N223893S/NS/NS/N159";"ODONTO EMPRESAS CONVENIOS DENTARIOS LTDA.";;"Odontologia de Grupo";"AV. TAMBORÉ";"267";"15º ANDAR. CJ 151-B PARTE. BL NORTE";"TAMBORÉ";"Barueri";"SP";"S/N646S/NS/NS/NS/N";"11";"49492947";;"juridico.regulatorio@cnpseguradora.com.br";"FRANÇOIS DOMINIQUE PHILIPPE TRITZ";"DIRETOR PRESIDENTE";1;"1998-12-16"
"312321";"S/NS/N515717S/NS/NS/N176";"ODONTO JARAGUÁ LTDA";"ODONTO JARAGUA";"Odontologia de Grupo";"RUA JOÃO PICOLLI ";"322";"SALAS 6S/N2 a 6S/N4";"CENTRO";"Jaraguá do Sul";"SC";"8925159S/N";"47";"33711312";"33711312";"odontojaragua@odontojaragua.com.br";"ALBERTO ATAÍDE SALDANHA";"DIRETOR PRESIDENTE";5;"1998-12-28"
"4S/N6414";"S/N1468S/N33S/NS/NS/N123";"ODONTO LIFE ASSISTÊNCIA ODONTOLÓGICA S/A.";"ODONTO LIFE";"Odontologia de Grupo";"RUA 24 DE MAIO";"1365";"LOJA S/N1 - ANDAR TÉRREO";"REBOUÇAS";"Curitiba";"PR";"8S/N23S/NS/N8S/N";"41";"3S/N99885S/N";;"matias@odontolifeodontologia.com.br";"PEDRO PEREIRA";"REPRESENTANTE LEGAL";1;"1999-S/N7-16"
"422851";"36765S/NS/N5S/NS/NS/N152";"ODONTO MAIS BRASIL OPERADORA DE PLANOS ODONTOLOGICO LTDA";"ODONTO MAIS BRASIL OPERADORA DE PLANOS ODONTOLOGICO";"Odontologia de Grupo";"AV RIO JUTAI";"26";"QD 36 - COND. RESID. ISAIAS VIEIRA";"NOSSA SENHORA DAS GRACAS";"Manaus";"AM";"69S/N53S/N2S/N";"92";"93791S/N95";;"administrativo@maisodontobrasil.com.br";"EZEQUIAS NASCIMENTO DOS SANTOS";"ADMINISTRADOR";6;"2S/N21-S/N6-14"
"422622";"36194357S/NS/NS/N1S/N3";"ODONTO MAIS SAUDE EMPREENDIMENTOS LTDA.";"ODONTOMAIS SAUDE";"Odontologia de Grupo";"MARIA NAZARE LACERDA";"165";"LOJA 13";"JARDIM DO LAGO";"Nova Serrana";"MG";"35522S/NS/NS/N";"37";"32285767";;"fredericomaciente@gmail.com";"PAULO HENRIQUE LACERDA FERREIRA";"Sócio administrador";;"2S/N21-S/N1-28"
"4S/N5671";"92395847S/NS/NS/N13S/N";"ODONTO PLUS CONVENIO ODONTOLOGICO SOCIEDADE SIMPLES LTDA";"ODONTO PLUS";"Odontologia de Grupo";"AVENIDA CAÇAPAVA";"146";;"PETROPOLIS";"Porto Alegre";"RS";"9S/N46S/N13S/N";"51";"33881766";"33881766";"odontoplusrs@odontoplusrs.com.br";"NILSE FROZZA DA CRUZ";"SOCIA GERENTE";4;"1999-S/N7-S/N1"
"418994";"17S/N48922S/NS/NS/N171";"ODONTO PRIME S/S LTDA";"ODONTO PRIME";"Odontologia de Grupo";"AVENIDA EUSÉBIO DE QUEIROZ";"2752";"SALA S/N7 E 1S/N";"COITÉ";"Eusébio";"CE";"6176S/NS/NS/NS/N";"85";"33S/N48585";;"faturamento@planodontoprime.com.br";"MIDIA CASTRO LOPES";"SÓCIA ADMINISTRADORA";5;"2S/N13-S/N8-S/N1"
"419281";"14891935S/NS/NS/N11S/N";"ODONTO SEG OPERADORA DE PLANOS ODONTOLOGICOS S.A.";"ODONTO SEG";"Odontologia de Grupo";"AVENIDA DAS NAÇÕES UNIDAS";"1S/N989";"2º ANDAR. CONJUNTO 22";"ALTO DE PINHEIROS";"São Paulo";"SP";"S/N4578S/NS/NS/N";"11";"413S/N188S/N";;"ouvidoria@odontoseg.com";"PAULO OTAVIO MONTALVÃO CAMISOTTI";"DIRETOR PRESIDENTE";4;"2S/N14-S/N2-17"
"414387";"S/N3187913S/NS/NS/N157";"ODONTOART PLANOS ODONTOLÓGICOS LTDA";"ODONTOART";"Odontologia de Grupo";"RUA DESEMBARGADOR LEITE ALBUQUERQUE";"635";"COBERTURA";"ALDEOTA";"Fortaleza";"CE";"6S/N15S/N15S/N";"85";"31339191";;"odontoart@odontoartonline.com.br";"TADEU MAGELA DE OLIVEIRA";"DIRETOR ADMINSITRATIVO";5;"2S/NS/N2-1S/N-S/N1"
"344486";"S/N12S/N8983S/NS/NS/N119";"ODONTOBASE PLANOS DE SAUDE LTDA.";"ODONTOBASE";"Odontologia de Grupo";"RUA ALEXANDRE HERCULANO";"197";"SALA 2S/NS/N1";"GONZAGA";"Santos";"SP";"11S/N5S/NS/N31";"13";"3S/N4S/N74S/NS/N";;"diretoria@odontobase.com.br";"CLAUDIO CIORLIA DENIPOTI";"SÓCIO - DIRETOR";5;"1998-12-28"
"423491";"47313264S/NS/NS/N169";"ODONTOBRAS PLANOS ODONTOLOGICOS LTDA";"ODONTOBRAS";"Odontologia de Grupo";"Rua Artur de Azevedo";"1697";"Salas 1 e 2";"Pinheiros";"São Paulo";"SP";"S/N54S/N4S/N14";;;;"diretoria@odontobras.net.br";"ANA LUCIA SEIXAS";"Repr junto à ANS";4;"2S/N22-12-12"
"418111";"945235S/N3S/NS/NS/N195";"ODONTOCLINICA RCC LTDA. S/S";;"Odontologia de Grupo";"AVENIDA RIO BRANCO ";"2S/N9";"SALA 3";"SãO PELEGRINO";"Caxias do Sul";"RS";"95S/N1S/NS/N6S/N";"54";"3S/N255255";;"planoodontologico@odontoclinica24h.com.br";"ZILSON LUIZ RISSON";"DIRETOR";6;"2S/N11-S/N5-31"
"422924";"4S/N65S/N166S/NS/NS/N178";"ODONTOCOOP - OPERADORA DE PLANOS DE SAÚDE LTDA";"ODONTOCARD";"Odontologia de Grupo";"RUA DOUTOR PEDRO MONTEIRO";"54";"SALA S/N2";"CENTRO";"Maceió";"AL";"57S/N2S/N38S/N";"82";"3S/N214141";;"administrativo@odontocardoficial.com.br";"CLEWERTON FARIAS DE BRITO";"SÓCIO ADMINISTRADOR";;"2S/N21-S/N8-11"
"389854";"S/N2751464S/NS/NS/N165";"ODONTOGROUP SISTEMA DE SAÚDE LTDA.";"ODONTOGROUP";"Odontologia de Grupo";"SAUS QUADRA S/N4 - BL. A";"SALAS 11S/N1/1112";"ED. VICTORIA OFFICE TOWER";"ASA SUL";"Brasília";"DF";"7S/NS/N7S/N938";"61";"3S/N386S/N11";"S/N8S/NS/N7S/N43663";"odontogroup@odontogroup.com.br";"ANA REGINA MARTINS CERQUEIRA SALGADO";"DIRETORA GERAL";3;"1998-12-16"
"417831";"1S/N364S/N53S/NS/NS/N145";"ODONTOLIVE OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.";"ODONTO LIVE";"Odontologia de Grupo";"RUA ABRÃO ANTONIO";"453";;"JARDIM PLANALTO";"Birigui";"SP";"162S/N352S/N";"18";"3643S/N446";"36414257";"aranieri@odontolive.com";"ANTONIO AUGUSTO POLIZEL RANIERI";"SÓCIO - DIRETOR";1;"2S/N11-S/N1-24"
"419184";"15441865S/NS/NS/N16S/N";"ODONTOMAIS SERVIÇOS ODONTOLÓGICOS LTDA - ME";"ODONTOMAIS";"Odontologia de Grupo";"RUA CORONEL CASCUDO";"331";;"CIDADE ALTA";"Natal";"RN";"59S/N2526S/N";"84";"32213918";"32213918";"ADMODONTOMAIS@HOTMAIL.COM";"CLIMÉRIO DE ALMEIDA MAIA NETO";"ADMINISTRADOR";5;"2S/N13-11-11"
"419583";"17211S/N49S/NS/NS/N196";"ODONTOMAXI OPERADORA DE PLANOS ODONTOLÓGICOS LTDA";"ODONTOMAXI";"Odontologia de Grupo";"RUA DAS PITANGUEIRAS";"18";"SALA 72 - 7º ANDAR";"JARDIM PITANGUEIRAS I";"Jundiaí";"SP";"132S/N245S/N";"11";"452748S/NS/N";;"flavia.magalhaes@odontomaxi.com.br";"FLÁVIA MAGALHÃES DA SILVA";"SÓCIO-ADMINISTRADOR";6;"2S/N14-1S/N-S/N6"
"423238";"455S/N5515S/NS/NS/N181";"ODONTOPLAN PLANOS ODONTOLOGICOS LTDA";;"Odontologia de Grupo";"RUA BOM SUCESSO ";"734.S/N";"CONJ 1S/N";"CIDADE MAE DO CEU ";"São Paulo";"SP";"S/N33S/N5S/NS/NS/N";"11";"9813835S/N4";;"toninho@asssegurosesaude.com.br";"RICARDO ROSSI PEDROZA";"PROPRIETARIO ";4;"2S/N22-S/N6-S/N8"
"3S/N1949";"58119199S/NS/NS/N151";"ODONTOPREV S/A";"ODONTOPREV";"Odontologia de Grupo";"ALAMEDA ARAGUAIA ";"21S/N4";"ANDAR 21 CONJ 211 AO 214";"ALPHAVILLE INDUSTRIAL";"Barueri";"SP";"S/N6455S/NS/NS/N";"11";"2168687S/N";"21812211";"rcury@odontoprev.com.br";"ROBERTO SEME CURY";"REPRESENTANTE LEGAL";1;"1998-12-18"
"412S/N4S/N";"S/NS/N361946S/NS/NS/N183";"ODONTOREAL LTDA.";"ODONTOREALE";"Odontologia de Grupo";"AV. GOV. CARLOS DE LIMA CAVALCANTI";"229";;"DERBY";"Recife";"PE";"5S/NS/N7S/N11S/N";"81";"3S/N718299";;"odontoreale@gmail.com";"ALEXANDRE JOSÉ FERRAZ";"SÓCIO GERENTE";6;"2S/NS/NS/N-S/N8-29"
"416738";"S/N87S/N898S/NS/NS/NS/N193";"OESTE SAÚDE ASSISTÊNCIA A SAÚDE SUPLEMENTAR S.A";"OESTE SAÚDE";"Medicina de Grupo";"AVENIDA ONZE DE MAIO";"1521";;"VILA LIBERDADE";"Presidente Prudente";"SP";"19S/N5S/NS/N5S/N";"18";"391851S/N5";;"oestesaude@oestesaude.com.br";"MARCELO DE TOLEDO CERQUEIRA";"DIRETOR PRESIDENTE";6;"2S/NS/N8-1S/N-S/N3"
"422185";"36414737S/NS/NS/N1S/N6";"OLIVA ADMINISTRADORA DE BENEFICIOS LTDA";;"Administradora de Benefícios";"AVENIDA NOSSA SENHORA DE COPACABANA";"817";"SALA 6S/N1";"COPACABANA";"Rio de Janeiro";"RJ";"22S/N5S/NS/NS/N2";;;;"andre.reis@olivabeneficios.com.br";"ANDRÉ LUIZ REIS FERREIRA";"REPRESENTANTE LEGAL";6;"2S/N2S/N-S/N3-16"
"424S/N3S/N";"52917897S/NS/NS/N116";"OMEGA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA.";;"Odontologia de Grupo";"RUA BARAO DE JAGUARA";"1214";"ANDAR 2 SALA S/N1";"CENTRO";"Campinas";"SP";"13S/N15S/NS/N2";"19";"98419515S/N";;"operadoraomegaodonto@gmail.com";"ELENY LÚCIO CASTILHO";"SOCIO ADMINISTRADOR";;"2S/N24-S/N4-29"
"359661";"44673382S/NS/NS/N19S/N";"OMINT SERVIÇOS DE SAÚDE S.A.";"OMINT";"Medicina de Grupo";"RUA FRANZ SCHUBERT";"33";;"JD PAULISTANO";"São Paulo";"SP";"S/N1454S/N2S/N";"11";"21324S/NS/NS/N";"38134949";"relacionamento-ans@omint.com.br";"ANDRE DO AMARAL COUTINHO";"DIRETOR GERAL";4;"1998-12-16"
"3S/N4212";"9224S/N6S/N5S/NS/NS/N178";"ON MED ASSISTÊNCIA MÉDICA LTDA";"ON MED";"Medicina de Grupo";"AV CEL FREDERICO LINK ";"714";"SALA 3S/N2";"IDEAL";"Novo Hamburgo";"RS";"93336S/NS/N2";;;;"diretoria@onmedsaude.com.br";"TAMIRES BRANDAO OLIVEIRA PENIDO";"DIRETORA ADMNISTRATIVO";5;"1999-S/N1-25"
"422673";"373S/N385S/NS/NS/NS/N179";"OPERADORA DE PLANOS ODONTOLOGICOS ULTRAODONTO LTDA";"ULTRAODONTO";"Odontologia de Grupo";"RUA CARLOS DIAS DA SILVA";"37-A";;"ITINGA";"Lauro de Freitas";"BA";"4273856S/N";"71";"3S/N514S/NS/N3";;"meireantunes@ultraodonto.com.br";"JONE LIMA MOREIRA";"SOCIO ADMINISTRADOR";3;"2S/N21-S/N2-S/N9"
"42S/N743";"25186649S/NS/NS/N17S/N";"OPERADORA DE PLANOS ODONTOLÓGICOS ODONTOCLÍNICA LTDA";"ODONTOCLÍNICA PLANOS ODONTOLÓGICOS";"Odontologia de Grupo";"RUA 24 DE NOVEMBRO";"182";;"CENTRO - SERRA CAIADA";"Serra Caiada";"RN";"59245S/NS/NS/N";"84";"988148S/N97";;"AGASILVA2@HOTMAIL.COM";"AGAMENON SEVERIANO DA SILVA";"SÓCIO ADMINISTRADOR";5;"2S/N16-12-28"
"419699";"2S/N918393S/NS/NS/N124";"OPERADORA DE PLANOS PRIVADOS DE SAÚDE - SANTA CASA SAÚDE LTDA";"SANTA CASA SAÚDE";"Medicina de Grupo";"AVENIDA FERNANDO CORREA DA COSTA";"92S/N";;"VILA GLORIA";"Campo Grande";"MS";"79S/NS/N431S/N";;;;"gerenciaadm@santacasasaudecg.com.br";"BEATRIZ LEMES DA SILVA";"ADMINISTRADOR";6;"2S/N15-S/N3-S/N5"
"318477";"S/N2888465S/NS/NS/N156";"OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA.";"TOTAL MEDCARE";"Medicina de Grupo";"RUA ROCHA POMBO";"54";;"ACLIMAÇÃO";"São Paulo";"SP";"S/N1525S/N1S/N";;;;"operadora.unicentral@totalmedcare.com.br";"RAFAEL FRANCISCO DE ALMEIDA";"DIRETOR GERENTE GERAL";4;"1998-12-21"
"354511";"S/N2774736S/NS/NS/N142";"OPERADORA UNIESTE DE PLANOS DE SAÚDE LTDA";"SILVESTRE SAÚDE";"Medicina de Grupo";"RUA  DEZENOVE DE FEVEREIRO ";"14S/N";"3º ANDAR ";"BOTAFOGO";"Rio de Janeiro";"RJ";"2228S/NS/N3S/N";"21";"3S/N318S/NS/N1";;"diretoria@silvestresaude.com.br";"NILSON FONTANA";"DIRETOR ADMINISTRATIVO";4;"1998-12-21"
"418226";"1381625S/NS/NS/NS/N146";"OPLAN SAÚDE OPERADORA DE PLANO DE SAÚDE LTDA";"OPLAN SAÚDE";"Medicina de Grupo";"RUA ARY PARREIRAS";"2S/N1";;"CENTRO ";"Itaguaí";"RJ";"23816541";"21";"23919645";;"debora.oliveira@oplan.com.br";"VALESCA DALLIER GUALTER DE ALVARENGA ";"REPRESENTANTE";6;"2S/N11-S/N9-13"
"4182S/NS/N";"83335596S/NS/NS/N1S/N8";"ORAL BLUE LTDA";"ORAL BLUE";"Odontologia de Grupo";"RUA EUCLIDES DA CUNHA";"21";;"CASTANHEIRA";"Belém";"PA";"6664513S/N";;;;"ANS@ORALBLUE.COM.BR";"SANDOVAL RIBEIRO RODRIGUES";"SÓCIO-PROPRIETÁRIO";5;"2S/N11-S/N9-13"
"418447";"S/N4942S/N97S/NS/NS/N1S/N2";"ORAL GAM ASSISTENCIA ODONTOLÓGICA LTDA";"ORAL GAM ASSISTENCIA ODONTOLÓGICA LTDA";"Odontologia de Grupo";"AVENIDA ESTADOS UNIDOS";"311";;"PARQUE DAS NAçOES";"Santo André";"SP";"S/N921S/N3S/NS/N";"11";"49974869";;"oralgam@terra.com.br";"GIL CARLOS FERNANDES";"DIRETOR TÉCNICO ";6;"2S/N12-S/N3-14"
"36651S/N";"S/N1972369S/NS/NS/N129";"ORAL SAÚDE DE IBITINGA SERVIÇOS ODONTOLÓGICOS S/S LTDA";"ORAL SAÚDE DE IBITINGA SERV. ODONTOL. S/S LTDA";"Odontologia de Grupo";"AVENIDA DOM PEDRO II";"1S/N95";;"CENTRO";"Ibitinga";"SP";"1494S/NS/NS/NS/N";"16";"33427336";"33427336";"oralsaudeibitinga@uol.com.br";"RENATO LUIZ MARTINS";"DIRETOR";6;"1999-S/N1-27"
"412996";"S/N399S/N914S/NS/NS/N135";"ORALE ASSISTÊNCIA ODONTOLÓGICA LTDA";"ORALE";"Odontologia de Grupo";"AVENIDA ANITA GARIBALDI";"1133";"SALA 12S/N4";"ONDINA";"Salvador";"BA";"4S/N17S/N136";;;;"adm@orale.com.br";"MARCOS BARRETO REGIS";"ADMINISTRADOR";5;"2S/NS/N1-S/N1-16"
"42S/N972";"26766S/N16S/NS/NS/N1S/N1";"ORALPLAN PLANOS DE SAUDE ODONTOLÓGICOS LTDA";"ORALPLAN";"Odontologia de Grupo";"AVENIDA CARAVELAS";"S/N3";"SALA 28 - ED. GALERIA DIVAMAR";"PRAIA DO FRANCES";"Marechal Deodoro";"AL";"5716S/NS/NS/NS/N";;;;"diretoria@oralplan.vc";"FABIO SANTOS DE ALMEIDA";"REPRESENTANTE";5;"2S/N17-S/N7-21"
"4S/N4772";"S/N1628329S/NS/NS/N164";"ORION ODONTOLOGIA LTDA";;"Odontologia de Grupo";"AVENIDA PAULISTA";"1765";"7º ANDAR. CONJ. 72 - CV 8262";"BELA VISTA";"São Paulo";"SP";"S/N13112S/NS/N";"11";"447828S/NS/N";"447828S/NS/N";"orion@orionodonto.com.br";"PAULO CARDONA LICCA";"Sócio Administrador";4;"1999-S/N6-S/N8"
"416371";"S/N74798S/N4S/NS/NS/N164";"ORION PLANOS E SERVIÇOS ODONTOLÓGICOS LTDA";"ODONTOMIX";"Odontologia de Grupo";"Rua Visconde de Inhaúma";"468";"Salão Comercial ";"Centro";"Ribeirão Preto";"SP";"14S/N1S/N9S/N2";;;;"andrei@odontomix.com.br";"ANDREI SANT' ANA MARQUES DE OLIVEIRA";"SÓCIO-ADMINISTRADOR";4;"2S/NS/N7-S/N9-18"
"419991";"184962S/N4S/NS/NS/N12S/N";"OROS OPERADORA DE PLANOS ODONTOLÓGICOS LTDA ME";"OROS OPERADORA DE PLANOS ODONTOLÓGICOS";"Odontologia de Grupo";"AVENIDA JOSÉ RUSCHI";"246";;"CENTRO";"Santa Teresa";"ES";"2965S/NS/NS/NS/N";"27";"32591S/N77";;"MARCELOSALVIATO@HOTMAIL.COM";"MARCELO NASCIMENTO SALVIATO";"SÓCIO ADMINISTRADOR";5;"2S/N15-12-S/N9"
"423483";"43873924S/NS/NS/N1S/N5";"P4H GESTAO DE BENEFICIOS LTDA";"PEOPLE 4 HEALTH BENEFICIOS";"Administradora de Benefícios";"Rua Dom Jaime Câmara";"17S/N";"Salas 1S/N1 e 1S/N2";"Centro";"Florianópolis";"SC";"88S/N1512S/N";;;;"ricieri@p4hsaude.com";"RICIERI DO ROSARIO RAMOS";"Sócio Administrador";;"2S/N23-S/N2-13"
"315265";"82353S/N79S/NS/NS/N1S/N7";"PARANA ASSISTENCIA MEDICA LTDA";"PAM";"Medicina de Grupo";"AVENIDA CARLOS CORREA BORGES";"113S/N";"SALA S/N3. TÉRREO E 1 ANDAR";"JARDIM GUAPORÉ";"Maringá";"PR";"87S/N6S/N215";"44";"3218153S/N";"32181532";"juridico@drpam.com.br";"ALEXANDRE DA SILVA LIMA";"DIRETOR FINANCEIRO";5;"1998-12-22"
"35S/N141";"76717S/N4S/NS/NS/NS/N11S/N";"PARANÁ CLÍNICAS - PLANOS DE SAÚDE S/A";"PARANÁ CLÍNICAS";"Medicina de Grupo";"AVENIDA GETÚLIO VARGAS";"32S/N1";;"ÁGUA VERDE";"Curitiba";"PR";"8S/N24S/NS/N41";"41";"334S/N3S/N23";"334S/N3S/N42";"info@paranaclinicas.com.br";"RAQUEL REIS CORREA";"DIRETORA PRESIDENTE";5;"1998-12-16"
"415782";"S/N7S/N75561S/NS/NS/N1S/N7";"PARRA ODONTOLOGIA LTDA";"PARRA ODONTOLOGIA - ATUAL CONVENIO";"Odontologia de Grupo";"RUA MARECHAL RONDON";"15S/N";;"JARDIM SUMARÉ";"Ribeirão Preto";"SP";"14S/N2543S/N";"16";"39416768";"39416768";"atual@atualodontologia.com.br";"NEWTON BARBOSA PARRA";"DIRETOR";6;"2S/NS/N6-1S/N-25"
